# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.110762        0.00612769    
      3.50000           4.00000          0.119429        0.00618992    
      4.00000           4.50000          0.103374        0.00846919    
      4.50000           5.00000          0.115785        0.00819604    
      5.00000           5.40000          0.111610         0.0109229    
      5.40000           5.80000         0.0816366         0.0144211    
      5.80000           6.20000         0.0950923         0.0141377    
      6.20000           6.60000         0.0806944         0.0144078    
      6.60000           7.00000         0.0617395         0.0237045    
      7.00000           8.00000         0.0784686         0.0156202    
      8.00000           10.0000         0.0911026         0.0169781    
