# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.262161        0.00374681    
      3.50000           4.00000          0.260727        0.00429389    
      4.00000           4.50000          0.247237        0.00499868    
      4.50000           5.00000          0.233097        0.00557060    
      5.00000           5.40000          0.229727        0.00627769    
      5.40000           5.80000          0.230786        0.00699132    
      5.80000           6.20000          0.218137        0.00770018    
      6.20000           6.60000          0.208341        0.00784394    
      6.60000           7.00000          0.222368        0.00901421    
      7.00000           8.00000          0.240188        0.00718367    
      8.00000           10.0000          0.229441        0.00738707    
