# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0538646        0.00680847    
      3.50000           4.00000         0.0541656        0.00672513    
      4.00000           4.50000         0.0459367        0.00780193    
      4.50000           5.00000         0.0497142        0.00893135    
      5.00000           5.40000         0.0581473         0.0107780    
      5.40000           5.80000         0.0520666         0.0115127    
      5.80000           6.20000         0.0354392         0.0136955    
      6.20000           6.60000         0.0433420         0.0259936    
      6.60000           7.00000         0.0325368         0.0168470    
      7.00000           8.00000         0.0454406         0.0113504    
      8.00000           10.0000         0.0248369         0.0152727    
