# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0906861         0.0172898    
      3.50000           4.00000          0.127693         0.0150766    
      4.00000           4.50000          0.112403         0.0180360    
      4.50000           5.00000         0.0918303         0.0202605    
      5.00000           5.40000          0.131942         0.0211317    
      5.40000           5.80000          0.132649         0.0214740    
      5.80000           6.20000         0.0790266         0.0274398    
      6.20000           6.60000          0.121310         0.0226952    
      6.60000           7.00000          0.111936         0.0293284    
      7.00000           8.00000          0.109963         0.0228660    
      8.00000           10.0000          0.101939         0.0215662    
