name,ra_Deg,dec_Deg,OBS_ID,PN_EXPIDSTR,PN_OBS_MODE,PN_DATE_OBS,GTI,photon_counts_0.3to10keV,photon_index_2to10keV,flux_0.3to10keV,luminosity_1d44_0.3to10keV
1ES 1927+654,291.8313,65.56506,0671860201,S002,PrimeSmallWindow,2011-05-20,28200.0,99866.27540715993,2.40093,1.037081518E-11,0.06735391127
1ES 1927+654,291.8313,65.56506,0830191101,S003,PrimeSmallWindow,2018-06-05,44300.0,216277.92285337523,3.16246,1.008537746E-11,0.0658955328
1ES 1927+654,291.8313,65.56506,0831790301,S003,PrimeSmallWindow,2018-12-12,50000.0,561909.4677802776,3.5,6.55397408E-11,0.4273885289
1H 0323+342,51.1715,34.17942,0764670101,S003,PrimeLargeWindow,2015-08-23,69000.0,272558.16099392273,1.72229,1.344429709E-11,1.173629581
1H 0323+342,51.1715,34.17942,0823780201,S004,PrimeLargeWindow,2018-08-14,50500.0,176063.16035425893,1.77832,1.151566773E-11,1.007622506
1H 0323+342,51.1715,34.17942,0823780301,S004,PrimeLargeWindow,2018-08-18,43000.0,130706.09997656888,1.84138,9.311145834E-12,0.8174811856
1H 0323+342,51.1715,34.17942,0823780401,S004,PrimeLargeWindow,2018-08-20,42500.0,222241.9659356672,1.81792,1.767878101E-11,1.545806894
1H 0323+342,51.1715,34.17942,0823780501,S004,PrimeLargeWindow,2018-08-24,46000.0,159034.9954719694,1.83823,1.097537672E-11,0.9619510438
1H 0323+342,51.1715,34.17942,0823780601,S004,PrimeLargeWindow,2018-09-05,44500.0,145018.87824149322,1.80842,1.038352053E-11,0.9085827377
1H 0323+342,51.1715,34.17942,0823780701,S004,PrimeLargeWindow,2018-09-09,46900.0,109812.66176432079,1.8001,7.507286108E-12,0.6576183797
1H 0419-577,66.5029,-57.20027,0148000201,S003,PrimeLargeWindow,2002-09-25,11500.0,24486.121939541597,1.00932,1.042353698E-11,2.643747558
1H 0419-577,66.5029,-57.20027,0148000401,S003,PrimeLargeWindow,2003-03-30,11900.0,32420.793472373363,1.61017,2.351846781E-11,6.444995626
1H 0419-577,66.5029,-57.20027,0148000501,S003,PrimeLargeWindow,2003-06-25,11400.0,26159.957753403436,1.52587,1.990921622E-11,5.400416588
1H 0419-577,66.5029,-57.20027,0148000601,S003,PrimeLargeWindow,2003-09-16,12100.0,24624.454281769715,1.51708,1.842868572E-11,4.950491277
1H 0419-577,66.5029,-57.20027,0604720301,S003,PrimeSmallWindow,2010-05-30,102200.0,809528.9338968394,1.69488,2.890049723E-11,7.987108977
1H 0419-577,66.5029,-57.20027,0604720401,S003,PrimeSmallWindow,2010-05-28,60400.0,429503.3989443334,1.68355,2.688246171E-11,7.395280384
1H 0419-577,66.5029,-57.20027,0820360101,S003,PrimeSmallWindow,2018-05-16,50100.0,311157.5606590178,1.66457,2.324215766E-11,6.395350704
1H 0419-577,66.5029,-57.20027,0820360201,S003,PrimeSmallWindow,2018-11-13,49000.0,349825.44961705763,1.66366,2.654975516E-11,7.304731426
1H 0707-495,107.172907,-49.551915,0110890201,S001,PrimeFullWindow,2000-10-21,40600.0,41753.82589081379,1.56321,2.225485131E-12,0.0856317345
1H 0707-495,107.172907,-49.551915,0148010301,S001,PrimeFullWindow,2002-10-13,68000.0,88473.02707219946,2.40333,7.030450474E-12,0.2715923393
1H 0707-495,107.172907,-49.551915,0506200201,S003,PrimeLargeWindow,2007-05-16,15600.0,9285.427193699295,1.4725,1.251039992E-12,0.04775730098
1H 0707-495,107.172907,-49.551915,0506200301,S003,PrimeLargeWindow,2007-05-14,38600.0,71511.57477672627,2.03097,3.731257287E-12,0.1431962527
1H 0707-495,107.172907,-49.551915,0506200401,S003,PrimeLargeWindow,2007-07-06,40600.0,75478.39133946612,2.27467,7.5933969E-12,0.2936837479
1H 0707-495,107.172907,-49.551915,0511580101,S001,PrimeLargeWindow,2008-01-29,90000.0,155094.02856753746,2.3804,6.563436542E-12,0.2533978504
1H 0707-495,107.172907,-49.551915,0511580201,S001,PrimeLargeWindow,2008-01-31,67000.0,130604.05882507839,2.58408,1.028224757E-11,0.3977961527
1H 0707-495,107.172907,-49.551915,0511580301,U002,PrimeLargeWindow,2008-02-02,72000.0,130324.75117265925,2.44722,8.270240484E-12,0.3198308631
1H 0707-495,107.172907,-49.551915,0511580401,U002,PrimeLargeWindow,2008-02-04,54000.0,69689.71951632388,2.23991,6.686826964E-12,0.2583072107
1H 0707-495,107.172907,-49.551915,0554710801,S003,PrimeLargeWindow,2011-01-12,29000.0,9917.326143521475,1.19891,8.97740323E-13,0.03398187041
1H 0707-495,107.172907,-49.551915,0653510301,S003,PrimeLargeWindow,2010-09-13,105000.0,175387.2600658898,2.348,6.59415444E-12,0.2546141872
1H 0707-495,107.172907,-49.551915,0653510401,S003,PrimeLargeWindow,2010-09-15,115000.0,232168.38783660225,2.57014,8.810314398E-12,0.3406067013
